,window_size,C,hist,epsilon,accuracy,auc_score,symbol
665,180,2.0,10,0.1,0.7600302800908403,0.7579916544884696,SYMC
695,180,2.5,20,0.1,0.7482837528604119,0.7467896429570243,DISCK
228,240,3.0,10,0.1,0.7850911974623315,0.7806273914764481,LB
221,240,2.0,30,0.5,0.75825946817083,0.7563071030895022,BIIB
204,240,1.0,30,0.1,0.7534246575342466,0.7481218099443712,RE
240,240,3.5,5,0.1,0.7717219589257504,0.771688996266198,WYNN
209,240,2.0,5,0.5,0.7777777777777778,0.7666666666666666,GOOG
128,200,1.0,5,0.1,0.7879019908116386,0.7852164187556631,WAT
245,240,3.5,10,0.5,0.7763679619349723,0.7741039789409742,IFF
249,240,3.5,20,0.5,0.7649880095923262,0.7635573031405296,UHS
224,240,3.0,5,0.1,0.7890995260663507,0.7886138613861386,AIG
219,320,3.0,10,0.1,0.7790008467400508,0.7754693392004341,AJG
139,200,3.5,20,0.5,0.8048024786986832,0.8043657093375668,BXP
219,320,3.0,10,0.1,0.7078544061302682,0.7078252723231506,DG
207,320,2.0,10,0.1,0.7620660457239627,0.7612600205431895,NRG
204,320,2.0,5,0.1,0.7740303541315345,0.7727635782747604,MAR
214,320,2.0,30,0.5,0.7278208440999139,0.7194023298191593,T
223,320,3.0,20,0.5,0.7514944491887275,0.7462042383562447,ATVI
217,320,3.0,5,0.5,0.7984822934232715,0.7923250173250173,NOC
193,320,1.0,5,0.5,0.8069139966273187,0.806563022505291,MTB
205,320,2.0,5,0.5,0.8060708263069141,0.8054514034203656,MRO
210,320,2.0,20,0.1,0.7301451750640479,0.7299039544396273,MSFT
229,320,3.5,5,0.5,0.7445193929173693,0.7395001487312083,LH
228,400,3.5,5,0.1,0.729607250755287,0.7281793915459998,NLSN
162,300,2.0,20,0.1,0.8211586901763224,0.8212156488226087,BK
222,500,3.0,20,0.1,0.7679112008072654,0.7640587699652992,RMD
225,500,3.0,30,0.1,0.7553516819571865,0.7512759904614483,SPGI
91,540,3.0,10,0.1,0.7960457856399584,0.7970871973880727,APH
71,360,3.0,30,0.1,0.7859054415700267,0.7825899580249288,ESS
86,540,2.0,30,0.05,0.8097768331562167,0.8091846425179758,HFC
82,540,2.0,10,0.05,0.7939646201873048,0.7928981242784853,UTX
78,540,1.0,30,0.05,0.8469713071200851,0.8466205447696321,L
83,540,2.0,10,0.1,0.8126951092611863,0.8089362166885103,KIM
89,540,3.0,5,0.1,0.7701863354037267,0.7686242815319865,GWW
16,360,3.0,10,0.1,0.7817703768624014,0.7733203420212733,WELL
